mesh,audio,n_frames,mean_beta0,std_beta0,lag1_autocorrelation,n_effective,naive_SE,corrected_SE,shapiro_W,shapiro_p
Sphere,A3,858,75.54079254079254,8.961675972939341,0.6701138340266084,169.47487329217617,0.3059465731882595,0.6883932102460066,0.9831006389654803,1.4743557303633061e-05
Torus,A3,858,51.193473193473196,13.172311198947497,0.8915896355063848,49.173505177628606,0.4496952896373816,1.8784359838716973,0.9020623375684869,2.2120297600171916e-17
Double torus,A3,858,40.312354312354316,14.529023343118698,0.9056857721791047,42.463247956034365,0.49601267854604714,2.229614687849638,0.9395060574406621,2.195408714919043e-13
Sphere,A7,858,40.07925407925408,11.032497383161443,0.899098901258982,45.58643189272606,0.3766432504677583,1.6340149765182534,0.8556759010865801,5.140038222566643e-21
Torus,A7,858,4.300699300699301,4.530516207528008,0.8977463375765057,46.230436925199044,0.15466927309718806,0.6663212892755676,0.837743317844086,3.467173005858075e-22
