mesh_name,genus,mean_beta0,std_beta0,cv_beta0,mean_delta_beta0,max_delta_beta0
sphere_genus0,0,87.34965034965035,9.082316182764837,0.10397656025421277,5.617269544924154,44.0
torus_genus1,1,51.46270396270396,11.053024695817337,0.2147773794363328,4.073512252042007,31.0
double_torus_genus2,2,40.312354312354316,14.520554077844604,0.36020109282961343,4.241540256709452,32.0
triple_torus_genus3,3,29.89044289044289,17.803174778807865,0.595614285277125,4.498249708284714,34.0
quad_torus_genus4,4,29.597902097902097,21.021863306033268,0.7102484235706455,4.03267211201867,44.0
