mesh_id,genus,beta0,A_ratio,S
sphere_genus0,0,26,0.024045712685165737,0.3333333333347543
torus_genus1,1,0,0.0,0.3333277796994217
double_torus_genus2,2,1,0.028169014031165042,0.3333309442085017
