stimulus,mesh,audio_descriptor,pearson_r,pearson_p,spearman_rho,spearman_p,best_lag,cross_corr_at_best_lag
A3,sphere,rms,0.04797941043856987,0.16027259862731696,0.1883313365264511,2.7241188872218555e-08,5,0.181919746081024
A3,sphere,spectral_flux,0.024784983255148045,0.46842398197617596,0.13309994999154917,9.21271275972489e-05,-3,0.20201999085474912
A3,sphere,spectral_centroid,0.4367002370245049,2.9008416678841927e-41,0.28468627054660695,1.8421621880292924e-17,0,0.43670023702450483
A3,sphere,n_active_bins,0.13879694780179436,4.51475511231064e-05,0.4506209975332521,3.891664228678002e-44,-2,0.3108851691462341
A3,torus,rms,0.2441975598844619,4.088624540784699e-13,0.651898837989539,5.855607628907212e-105,2,0.2556494668467151
A3,torus,spectral_flux,0.18437542878775004,5.343509040221116e-08,0.5758780370262877,6.0249312573377596e-77,-5,-0.28152054802965853
A3,torus,spectral_centroid,0.3114553126778003,9.354894027757289e-21,0.518644842070146,3.005335114446138e-60,5,0.520153177299887
A3,torus,n_active_bins,0.2792346054024686,7.839721358136626e-17,0.49633966636427873,1.4660193215474796e-54,4,0.3086506490933372
A7,sphere,rms,0.290125718702147,4.205467342051626e-18,0.19719450479128245,5.710642320724831e-09,-5,0.5545877111232121
A7,sphere,spectral_flux,0.42762567174564403,1.837907028235778e-39,0.48664511283453066,3.2378103080035973e-52,0,0.4276256717456437
A7,sphere,spectral_centroid,0.523522857610777,1.502027284268958e-61,0.5787145864251738,7.324388266325551e-78,0,0.5235228576107765
A7,sphere,n_active_bins,0.702637487287068,1.1888485208801851e-128,0.8376563511435695,4.827536282788997e-227,0,0.7026374872870677
A7,torus,rms,-0.38204206809124386,3.342462239025424e-31,-0.41136493825505294,2.2838718565990328e-36,5,-0.6139054474487585
A7,torus,spectral_flux,0.06359051095221951,0.0626257483298892,-0.020595191540145465,0.5468737719666726,5,-0.1945522794492997
A7,torus,spectral_centroid,0.2838531529187708,2.3032940610766255e-17,0.24963454902194113,1.177248198956999e-13,-5,0.3627112835310261
A7,torus,n_active_bins,0.9011619799381642,5.3496805872e-313,0.8290545188156094,2.58721977934047e-218,0,0.901161979938165
