epsilon,spearman_rho_genus7,p_value_genus7,spearman_rho_9mesh,p_value_9mesh
0.005,0.7748062179181807,0.04076946252042033,0.48333333333333334,0.18746985521554207
0.01,0.5714285714285715,0.1802019889115274,0.39999999999999997,0.2861051019083129
0.02,0.5585812268712466,0.19245253188052203,0.5966597228393727,0.0898700902861308
0.05,-0.9543135154205278,0.0008360075278773985,0.05175491695067656,0.8948008096931416
