mesh,beta0_random_mean,beta0_random_std,beta0_A1,beta0_A2,beta0_A3,beta0_A4,beta0_A5,beta0_A6,beta0_A7,delta_A1,delta_A2,delta_A3,delta_A4,delta_A5,delta_A6,delta_A7,z_A1,z_A2,z_A3,z_A4,z_A5,z_A6,z_A7
sphere_genus0,134.139,13.3248,40.0,36.1818,87.3497,110.2786,127.1678,80.4079,41.3695,-94.139,-97.9572,-46.7893,-23.8604,-6.9712,-53.7311,-92.7695,-7.0649,-7.3515,-3.5114,-1.7907,-0.5232,-4.0324,-6.9622
torus_genus1,78.414,10.0549,1.0,1.0443,51.4627,67.0781,65.789,38.1177,2.4103,-77.414,-77.3697,-26.9513,-11.3359,-12.625,-40.2963,-76.0037,-7.6991,-7.6947,-2.6804,-1.1274,-1.2556,-4.0076,-7.5589
double_torus_genus2,78.925,10.0135,4.0,1.3252,40.3124,62.2716,63.5,40.3263,8.7273,-74.925,-77.5998,-38.6126,-16.6534,-15.425,-38.5987,-70.1977,-7.4824,-7.7495,-3.8561,-1.6631,-1.5404,-3.8547,-7.0103
triple_torus_genus3,97.579,10.9265,7.0,0.0559,29.8904,88.7226,96.9114,54.0093,3.2413,-90.579,-97.5231,-67.6886,-8.8564,-0.6676,-43.5697,-94.3377,-8.2898,-8.9254,-6.1949,-0.8105,-0.0611,-3.9875,-8.6338
quad_torus_genus4,106.892,12.0037,2.0,1.1317,29.5979,83.1142,105.0734,50.9627,4.4872,-104.892,-105.7603,-77.2941,-23.7778,-1.8186,-55.9293,-102.4048,-8.7383,-8.8106,-6.4392,-1.9809,-0.1515,-4.6593,-8.5311
