mesh,genus,K,stimulus,beta0_mean,beta0_std
sphere_genus0,0,200,A1,81.4336,0.4956
sphere_genus0,0,200,A2,38.4126,2.5865
sphere_genus0,0,200,A3,138.9336,14.6617
sphere_genus0,0,200,A5,199.049,14.2934
torus_genus1,1,200,A1,1.0,0.0
torus_genus1,1,200,A2,2.3648,1.3863
torus_genus1,1,200,A3,64.8089,9.0236
torus_genus1,1,200,A5,107.4918,8.9508
double_torus_genus2,2,200,A1,2.0,0.0
double_torus_genus2,2,200,A2,0.2133,1.3741
double_torus_genus2,2,200,A3,67.9755,9.8327
double_torus_genus2,2,200,A5,106.9802,9.6461
triple_torus_genus3,3,200,A1,4.0,0.0
triple_torus_genus3,3,200,A2,5.1911,1.2593
triple_torus_genus3,3,200,A3,91.817,15.1172
triple_torus_genus3,3,200,A5,144.1037,10.6141
quad_torus_genus4,4,200,A1,3.0,0.0
quad_torus_genus4,4,200,A2,12.0653,1.2866
quad_torus_genus4,4,200,A3,105.7634,23.1722
quad_torus_genus4,4,200,A5,148.3322,11.2187
penta_torus_genus5,5,200,A1,6.0,0.0
penta_torus_genus5,5,200,A2,2.6807,1.5474
penta_torus_genus5,5,200,A3,90.8497,23.095
penta_torus_genus5,5,200,A5,157.8613,10.3754
hex_torus_genus6,6,200,A1,3.0,0.0
hex_torus_genus6,6,200,A2,4.8147,1.8982
hex_torus_genus6,6,200,A3,82.9196,32.8438
hex_torus_genus6,6,200,A5,162.6131,11.737
