mesh_id,genus,asymmetry_level,beta0,A_ratio,S
double_torus_genus2,2,,59,0.04432660168519686,0.35070168280337394
octahedron_sym_1.0,,1.0,37,0.04565429687499994,0.6476375179709963
octahedron_sym_1.1,,1.1,60,0.06311035156249997,0.6410398014061133
octahedron_sym_1.2,,1.2,40,0.04101562500000021,0.6549392969861675
octahedron_sym_1.3,,1.3,43,0.042724609375000194,0.6633922177329633
octahedron_sym_1.4,,1.4,43,0.04370117187499974,0.6601671556061283
octahedron_sym_1.5,,1.5,33,0.028564453124999965,0.6531028224973315
sphere_genus0,0,,74,0.03642253244203637,0.5040461543452145
torus_genus1,1,,62,0.04843386972642546,0.3505685101269287
