mesh,genus,n_vertices,n_faces,n_edges,aspect_mean,aspect_median,aspect_min,aspect_max,aspect_std,area_mean,area_std,area_min,area_max,area_cv,edge_mean,edge_std,edge_min,edge_max,edge_cv,angle_mean,angle_std,angle_min,angle_max,angle_lt_10_count,angle_gt_150_count,euler,euler_expected,euler_ok
sphere,0,10242,20480,30720,1.1135943805295647,1.130234543167073,1.0,1.1753948579672213,0.04913623897516509,0.0006134088607192342,5.3009438615229986e-05,0.0005691336490375012,0.0007399188759122953,0.08641779082401149,0.037766370426096006,0.0024555906664736503,0.03459666254645527,0.041337264650020036,0.06502056297093546,60.000000011700955,5.547186939129636,54.006216475382594,71.9875540854338,0,0,2,2,True
torus,1,5041,10082,15123,3.1705617893688602,3.1829443457822126,2.236943259415835,4.121207324516651,0.6675187905832307,0.011733789315985742,0.0027663581553589787,0.007830125187192461,0.015652681238771633,0.23575999882579962,0.21145196399928673,0.10033670096495514,0.08846668262588621,0.36458956524946157,0.4745129771662636,60.0000000005533,30.065421495070744,14.042813997579486,92.53459616109129,0,0,0,0,True
double_torus,2,19562,39128,58692,4.977851126737956,3.8740524046966724,1.0324536755966514,291.097530302975,12.387535000614974,0.001935907930692222,0.0007310020930332951,1.304992199159112e-06,0.0027647648822905634,0.3776016831399161,0.09058847719163488,0.04984740063147742,0.00031689939302560787,0.1636648418458779,0.550262044101128,60.000000010399326,33.373206892096164,0.15431647468929927,177.51156813921097,2112,188,-2,-2,True
genus3,3,7278,14564,21846,5.387551082609719,3.891604131103824,1.0324538614187646,291.0964379731624,14.325365581029915,0.0074272211127344254,0.0031798906492632316,5.218639945027174e-06,0.011059059332285001,0.4281400272049413,0.17688163348022506,0.10042754158041646,0.0006337889606170486,0.3273298019684496,0.5677669275461774,60.000000003371035,33.816483324804764,0.154273561960094,177.5121811698846,1060,94,-4,-4,True
genus4,4,8414,16840,25260,17.53332894583677,4.22377545328229,1.026638837873312,11094.02594909099,273.089613161771,0.007697241223877989,0.003951124471159118,7.04106131711965e-09,0.012164800042386265,0.5133169607446031,0.18488427234022434,0.11460534260700357,1.1630275146613146e-05,0.3553573085380629,0.6198761049620631,60.000000187233105,35.86149171009189,0.003972819783384909,177.29042620975397,2224,226,-6,-6,True
genus5,5,8929,17874,26811,6.348680678306758,4.284343411942547,1.1586407908490304,214.4671427225359,12.283917652693393,0.008627727985532537,0.004117126005890477,2.9052536555713687e-06,0.013295598344828413,0.4771970109389525,0.20047188970836682,0.12198770928055583,0.0012950882528615238,0.37714718447414936,0.6085028153224646,60.00000000690334,35.497730080440235,0.2643935897169667,175.9226047209738,2140,184,-8,-8,True
genus6,6,9934,19888,29832,14.124928244903384,4.631241230143767,1.1499344505833655,2429.796827969574,96.94071527420495,0.00872393550084898,0.004373763648451487,4.860948229624883e-07,0.01357339499720613,0.5013521303574343,0.20496731514222158,0.1290660994048077,0.00012607218924089403,0.39045381403030255,0.6296911257058329,60.0000000413424,36.44265419371031,0.022249062834549974,176.61304801320503,2724,354,-10,-10,True
