mesh_id,genus,beta0,A_ratio,S
sphere_genus0,0,79,0.032605652315090196,0.5123709975076326
torus_genus1,1,53,0.056939222460060446,0.351568069330376
double_torus_genus2,2,36,0.03688615434690847,0.7343860990648455
triple_torus_genus3,3,28,0.023640611230813974,0.4901189985395387
quad_torus_genus4,4,35,0.05379960959765706,0.4074146757375685
penta_torus_genus5,5,21,0.03247687916752775,0.383436059131711
hex_torus_genus6,6,27,0.05794774944389519,0.40651729000522563
