mesh,genus,n_vertices,n_faces,n_edges,aspect_mean,aspect_median,aspect_min,aspect_max,aspect_std,area_mean,area_std,area_min,area_max,area_cv,edge_mean,edge_std,edge_min,edge_max,edge_cv,angle_mean,angle_std,angle_min,angle_max,angle_lt_10_count,angle_gt_150_count,euler,euler_expected,euler_ok
triple_torus_genus3_remeshed,3,2634,5276,7914,1.2573340276967577,1.2181597635337573,1.0038950942714702,2.9526773074971726,0.17169148441699195,0.020390114599505533,0.0034987334563220535,0.005485577819131336,0.0384912256752738,0.17158969064386223,0.21989743428123798,0.029125073406348134,0.08490420781344458,0.36390332745768006,0.13244844580177592,60.00000000035631,10.660116387215878,18.530023937182,118.26333945887016,0,0,-4,-4,True
quad_torus_genus4_remeshed,4,3184,6380,9570,1.264669784833277,1.2279268520289395,1.003962575223685,3.861904224281575,0.1858277824662414,0.020183044696960584,0.0037301051283070014,0.003284769064631032,0.04043700328737957,0.1848137971407618,0.21880378784371682,0.03006485940014374,0.0560513820821622,0.37256227043555473,0.13740557097493175,60.00000000036197,11.00686444063574,13.94298790369924,136.12050663636586,0,0,-6,-6,True
penta_torus_genus5_remeshed,5,3894,7804,11706,1.3298217618974988,1.251182811279322,1.0023896324795822,3.033894629118682,0.26756454532833346,0.01962702316761144,0.0039161143183927246,0.00495984465671064,0.038683300080364164,0.19952665694383578,0.21726009566020157,0.03395407902445911,0.08327413419450834,0.3743016286789979,0.1562830897283773,60.000000000371024,12.723937732071402,16.813146914189208,137.2318271355296,0,0,-8,-8,True
hex_torus_genus6_remeshed,6,4334,8688,13032,1.290857887428519,1.2225392930686834,1.0012076746604117,3.2291696177955225,0.2433400560127134,0.019822061507007806,0.0038300145824079423,0.003990095719276262,0.03856119847459995,0.19321979104211212,0.21757058079545985,0.0318361740735021,0.07115905764763493,0.37355786342580727,0.1463257300555335,60.00000000036799,11.95335690895449,12.692003183907858,149.90449774001846,0,0,-10,-10,True
